Effect Name,Effect ID,Description,Moves,Purposes/Thoughts
Multi-hit,multihit,,"Staccato,Blitz,Splinter,Salvo,Surge,Sagittarian Pride,Arrow Storm,Double Tide,Exploit Feign,Sever",
Target Modifier,range_mod,"Modifies range/group/amount of abilties  i.e Smokescreen, Fantasia","Fantasia,Smokescreen,Conversion,Fractal Division,Arrow Flurry,Bolt Arsenal,Quiver of Thunder,Chase Arrow,Volley,Lightning Draw,Salvo,Trick Shot,Craps,High Roller,Echo Burst,Totem of Blood,Totem of Bone,Sacrificial Lamb,Triumvirate,Impede,Inertial Shift,Tempest Sweep,Wide Slash,Wrath,Continental Crash,Line Out",
Buff,buff,Underlined,"Primadonna,Reforge,Mending Mantel,Martyrdom,Eightfold Shield,Nirvana,Conversion,Pavise,Radiance,Bolt Compaction,Bound Bow,Long Shot,Jump Shot,Blitz,Windmill,Splinter,Jackpot,Celestial Blessing,Echo Burst,Bloodrush,Spirit Break,Totem of Soul,Feral Spark,Shield Wall,Iberian Steel,Invigorate,Impede,Adaptive,Defiance,Reversal,Wear Down,Aikido,Franciscate,Discipline,Bastion,Ambush,Entrench",
Debuff,debuff,Italicized,"Dissonance,Primadonna,Staccato,Mantrap,Reforge,Warp,Splinter,Dark Reflection,Psychic Overlord,Spirit Break,Left-Hand Path,Feral Spark,Disengage,Dual Wield,Exploit Feign,Disarm,Bastion",
Tile Effect,trap,"Place an effect in an area surrounding a tile (badly wording). Mantrap, Barrow, Silk Cocoon are notable factors","Mantrap,Tinker's Dam,Mending Mantel,Wormhole,Totem of Blood,Totem of Bone,Totem of Soul,Breach,Continental Crash,Bastion",
Tile Placement,tile,"Shill, Masonry, Mantel, Tdam, etc","Tinker's Dam,Mending Mantel,Whittle,Heredity,Effigial Pyre,Masonry,Earth Render,Fissure,Continental Crash",
Unremovable,unrem,,,
Foe ignore,foe_ign,Ignore Foes when calculating effects/range/validity. Notable examples include Mantel and Warp,"Warp,Shadow Quiver",
Heal,heal,,"Mending Mantel,First Aid,Vestments,Oath of Mercy,Harvest Moon,Foresight,Psychic Overlord,Siphon Soul,Bloodbind,Reaper's Touch,Haunted Swing,Wither Soul,Coup de Grace,Phantasmal Shield,Heredity,Hardwood Slam",
Immunity,immune,"Impasse, Ward are notable examples","Reforge,Ward,Divertissement,Impasse,Quick Thinking,Pierce,Cursed Bolts,Retreat,Breach,Deus Vult,Weapon Crash,Pole Vault,Dazing Hook,Stonemason",
Target Displacement,displace,"Push, Pull and Swap all fall into this category","Heaven's Wind,Tornado Bolt,Bolt Arsenal,Storm Cycle,Hook Shot,Void's Call,Exercitus,Disengage,Forward Jab,Inertial Shift,Gale Force,Chain Axe,Knockback,Cyclone Sweep,Seismic Smash,Crush,Gravity Well,Shockwave Slam,Collision Course,Fissure,Tomahawk Toss,Kip Up,Repulse Slice,Continental Crash,Kinetic Impact,Two Handed,Elastic Collision,Fleet Footwork",
Recoil,recoil,,"Ironclad,Crimson Pact,Purloin Youth,Total Depravity,Whittle,Totem of Soul,Feral Spark,Sacrificial Lamb",
Frequency Modifier,freq_mod,"Thank you Dancer. (this would also include RL, Massacre, etc)","Emboite,Fouette,Massacre,Impede,Swing Cycle,Ambush",
Resource Loss,spend,,"Eightfold Shield,Conversion,Nirvana,Outmaneuveur,Dash,Quick Thinking,Retreat,Bloodbind,Power Swing,Wide Slash,Knockback,Franciscate,Gash,Sever,Swing Cycle,Wrath,Amped Strike,Right to Rule,Ambush",
Resource Gain,gain,,"Qi Force,Superposition,Explosive Shot,Tornado Bolt,Bolt Arsenal,Quiver of Thunder,Discard,Crimson Pact,Defile,Purloin Youth,Iberian Steel,Bloodlust,Vindictive,Swing Cycle,Coronation",
Teleport,teleport,,,
Tunneling,tunneling,"Basically what Tunneling does, but this also apply to QStaff EX and Air Balloon",Tunneling,
Effect Modifier,eff_mod,"Abilties that Modify the effects of other Abilities/group of Abilities. i.e Aegis-Radiance, Sanc-CP, Martyrdom-Heals","Martyrdom,Qi Force,Radiance,Adrenaline,Arrow Net,Bolt Compaction,Final Hour,Bound Bow,Retreat,Sniper's Focus,Blessed Arrow,Overdraw,Moonblast,Holy Light,Lunar Shift,Harvest Moon,Double Tide,Celestial Blessing,Future Sight,Eventide,Omen,Corruption,Astral Touch,Foresight,Oracle,Prophecy,Fateweave,Sanctified Blade,Massacre,Exsanguinate,Total Depravity,Reap,Hades' Toll,Pestilent Strike,Phantasmal Shield,Stroke of Midnight,Totem of Bone,Totem of Blood,Heredity,Totem of Soul,Feral Spark,Blasphemy,Effigial Pyre,Egregore,Hastiliarius,Disarm,Tempest Sweep,Chain Axe,Knockback,Gash,Wrath,Heavy Weapon,Repulse Slice,Two Handed,Coronation,Besiege,Catapult Campaign,Entrench",
Non-damaging Status,nondmg_status,,"Ironclad,Mantrap,Crippling Shot,Roulette,Tidal Wave,Exercitus,Hardwood Slam,Defiance,Calamitous Trance,Dazing Hook,Knockback,Franciscate,Storm Strike,Seismic Smash,Razor Rust,Tomahawk Toss",
remove,rem,,"Impasse,Deus Vult,Impede,Exploit Feign,Franciscate",
Dice Modifier,dice_mod,"dice faces, bomb/inv, adv/disadv","Divertissement,Fireworks,Craps,Weapon Crash,Stance Breaker,Calamitous Trance,Dazing Hook,Kinetic Impact",
non-attack ,non_akt,Denotes abilities that is usually an attack but can be used as a non-attack,"Harvest Moon,Oracle,Shield Wall,Pole Vault,Gale Force,Franciscate,Ambush",
honestly this thing deserves its own logic,,,"Time's Edge,Lightspeed,Explosive Shot,Shadow Quiver,Salvo,Surge,Sagittarian Pride,Double or Nothing,Blackjack,Craps,Hi-Lo,Stacked Deck,Lunar Phase,Gravity Crash,Far Side of the Moon,Fatal Moonlight,Covenant,Immortal Coil,Ancestral Wrath,Animatus,Egregore,Triumvirate,Fair Fight,Martial Mastery,Guard,Unstoppable Force,Masonry,Collision Course,Fissure,Continental Crash,Elastic Collision,Supreme Strikes",
Delay,,,"Augur,Eventide,Echo Burst,Corruption,Dawn Break,Prophecy,Fateweave",
Before Accuracy,,,"Siphon Soul,Bloodbind,Fissure",
,,,,
,,,,
Self Displacement,,,"Heaven's Wind,Aegis,Left-Hand Path,Disengage,Defiance,Storm Strike,Aftershock,Kip Up,Elastic Collision,Fleet Footwork",
shield,,,"Invigorate,Stance Breaker,Paragon,Besiege",
Varies,,,"Weapon Crash,Yin Yang",
,,,,
,,,,
,,,,
